,BRA,CHL,COL,PER,MEX,CAN,EUA,ALE,FRA,ITA,ESP,UK,POL,PRT,CHN,JPN,KOR,TWN,IND,IDN,VNM
BRA,0.0,1.2,0.6,0.5,1.4,2.1,19.9,4.5,2.3,1.7,1.5,3.9,0.4,0.5,17.0,2.0,2.2,0.8,2.7,0.7,0.5
CHL,10.2,0.0,1.4,1.9,2.0,2.7,22.5,2.9,1.5,1.0,1.9,1.6,0.3,0.2,18.3,2.1,1.6,0.6,1.5,0.6,0.5
COL,5.2,1.3,0.0,2.1,3.3,2.4,26.4,3.5,1.8,1.4,2.1,2.4,0.3,0.2,19.1,1.6,1.3,0.8,2.1,0.6,0.6
PER,4.7,2.5,2.0,0.0,2.0,2.3,26.5,2.9,1.0,1.1,2.0,1.5,0.3,0.1,21.7,2.3,1.2,0.7,2.2,0.8,0.5
MEX,2.1,0.4,0.5,0.3,0.0,3.3,41.6,3.6,1.0,1.2,1.1,1.2,0.4,0.1,17.9,3.0,2.9,2.1,1.1,0.6,0.9
CAN,1.0,0.5,0.3,0.3,3.2,0.0,47.2,3.1,1.3,1.2,0.7,2.5,0.4,0.2,11.9,2.2,1.6,1.0,2.3,0.5,0.6
EUA,2.3,0.7,0.8,0.3,7.0,15.3,0.0,4.5,2.0,1.5,1.1,5.0,0.5,0.2,12.9,3.7,2.8,1.8,4.4,0.9,1.2
ALE,1.0,0.2,0.2,0.2,0.5,1.0,10.9,0.0,5.6,3.7,2.7,6.1,4.1,0.5,9.1,2.2,1.1,0.7,1.8,0.4,0.3
FRA,0.7,0.2,0.1,0.1,0.5,1.2,9.7,13.0,0.0,5.4,5.7,6.9,2.2,0.9,7.0,1.3,0.9,0.5,1.6,0.3,0.3
ITA,0.9,0.1,0.2,0.1,0.3,0.6,6.4,11.2,6.5,0.0,3.4,3.3,1.9,0.4,8.1,1.2,0.9,0.5,1.5,0.5,0.4
ESP,1.9,0.4,0.5,0.4,1.1,0.9,8.5,9.2,8.1,4.4,0.0,4.7,1.4,2.4,9.1,1.1,0.8,0.5,1.6,0.7,0.4
UK,0.8,0.2,0.2,0.2,0.5,2.1,13.7,8.2,5.9,3.1,3.2,0.0,1.9,0.7,10.9,2.1,1.3,0.7,2.7,0.4,0.5
POL,0.7,0.2,0.3,0.1,0.3,0.6,5.7,15.5,4.0,3.9,2.1,3.7,0.0,0.3,10.4,1.5,1.8,0.6,1.3,0.6,0.4
PRT,3.4,0.2,0.1,0.1,0.3,0.7,5.5,10.4,7.2,3.9,20.4,4.0,1.4,0.0,5.6,0.9,0.7,0.5,1.2,0.3,0.3
CHN,4.0,1.6,0.3,1.1,0.8,1.8,9.1,3.9,1.7,1.0,0.6,1.6,0.3,0.1,0.0,5.9,5.0,4.8,1.2,3.6,1.6
JPN,1.4,0.9,0.1,0.5,0.6,1.7,13.3,2.6,1.1,0.8,0.6,1.9,0.2,0.1,14.0,0.0,2.7,1.9,1.6,2.8,1.0
KOR,1.2,0.6,0.1,0.4,1.1,1.5,12.5,3.4,1.5,0.9,0.5,1.9,0.3,0.1,19.9,5.8,0.0,2.3,2.0,2.3,1.6
TWN,1.1,0.5,0.1,0.3,0.5,1.1,12.5,3.1,1.2,0.9,0.5,1.5,0.2,0.1,17.5,11.2,5.4,0.0,2.0,3.2,1.2
IND,1.1,0.2,0.5,0.2,0.8,0.9,9.5,2.5,1.3,0.8,0.5,2.4,0.3,0.1,11.7,2.3,2.3,0.8,0.0,3.9,0.5
IDN,1.4,0.3,0.1,0.2,0.3,1.6,7.7,1.8,1.3,0.5,0.4,1.4,0.2,0.1,21.2,5.8,3.6,1.4,4.4,0.0,1.1
VNM,1.4,0.3,0.1,0.2,0.5,0.6,6.0,1.6,0.9,0.5,0.3,0.8,0.2,0.1,30.9,5.7,10.9,4.7,1.9,2.6,0.0
