"Global: matriz de descomposición de valor agregado por destino (2022)"
"En por ciento del valor agregado enviado al extranjero"
"","","","País generador de valor agregado"
"","","Región","América","Europa","Asia"
"","Región","País","BRA","CHL","COL","PER","MEX","CAN","EUA","ALE","FRA","ITA","ESP","UK","POL","PRT","CHN","JPN","KOR","TWN","IND","IDN","VNM"
"País usuario del valor agregado","América","BRA","","3.8","3.1","2.1","1.0","0.9","2.5","1.0","1.0","1.1","1.1","1.4","0.3","2.1","2.0","0.7","1.4","0.6","1.5","0.8","0.8"
"CHL","2.8","","2.1","3.3","0.5","0.2","0.8","0.2","0.2","0.2","0.5","0.2","0.1","0.2","0.9","0.3","0.3","0.1","0.3","0.1","0.3"
"COL","1.3","1.0","","2.1","0.8","0.2","0.8","0.2","0.2","0.2","0.4","0.2","0.1","0.2","0.6","0.2","0.1","0.1","0.3","0.1","0.3"
"PER","0.9","1.5","2.4","","0.5","0.2","0.6","0.1","0.1","0.2","0.3","0.1","0.1","0.1","0.5","0.2","0.1","0.1","0.2","0.2","0.2"
"MEX","2.9","2.1","3.8","1.9","","2.3","10.3","1.4","0.7","1.3","1.7","0.6","0.8","0.7","3.3","2.1","2.7","2.8","1.0","0.8","2.4"
"CAN","1.5","2.2","2.4","3.1","5.1","","11.6","1.2","1.1","1.6","1.0","1.6","0.7","1.9","2.5","1.7","1.6","1.4","1.9","0.6","2.2"
"EUA","12.9","16.1","28.9","11.4","64.1","64.1","","9.2","9.0","11.1","8.2","16.1","4.2","10.4","15.1","17.2","15.8","14.4","21.9","9.8","27.8"
"Europa","ALE","3.0","1.7","3.2","2.7","2.0","1.7","5.2","","10.4","9.9","9.1","8.9","21.9","8.1","5.0","3.2","2.1","2.7","3.3","1.3","2.8"
"FRA","1.3","0.9","0.9","0.8","0.8","1.3","2.7","8.3","","9.9","13.3","6.6","6.3","10.2","2.1","1.0","1.2","0.9","2.2","0.5","1.2"
"ITA","1.5","0.5","1.6","0.7","0.4","0.4","1.3","5.6","6.6","","6.6","2.0","4.3","3.4","2.1","0.7","0.8","0.7","1.5","1.0","1.3"
"ESP","2.0","1.5","2.8","2.9","1.2","0.4","1.3","3.0","5.5","4.2","","2.3","2.2","14.1","1.7","0.5","0.5","0.5","1.1","0.9","0.9"
"UK","1.7","1.2","1.9","2.1","1.3","2.7","4.4","5.2","7.1","5.9","7.3","","6.2","7.6","3.9","2.2","1.8","1.5","3.7","0.9","2.4"
"POL","0.5","0.3","1.0","0.3","0.2","0.2","0.6","3.9","1.6","2.4","1.5","1.3","","1.2","1.4","0.6","1.0","0.4","0.6","0.5","0.7"
"PRT","0.9","0.1","0.1","0.1","0.1","0.1","0.1","0.8","1.1","0.8","6.6","0.4","0.5","","0.2","0.1","0.1","0.1","0.2","0.1","0.1"
"Asia","CHN","27.7","38.1","11.2","36.9","4.4","6.8","8.5","7.3","6.4","5.4","4.2","5.6","1.9","4.6","","20.4","24.4","38.3","6.0","26.2","20.4"
"JPN","3.4","8.7","1.2","6.3","1.4","2.6","5.1","1.7","1.3","1.5","1.2","2.0","0.4","0.6","6.2","","5.3","6.2","2.2","8.0","5.7"
"KOR","2.1","5.1","1.0","4.3","1.9","1.4","3.5","1.7","1.3","1.3","0.7","1.4","0.5","0.8","5.0","5.8","","4.6","2.1","4.9","6.0"
"TWN","0.7","1.1","0.4","0.9","0.4","0.5","1.8","0.8","0.6","0.7","0.5","0.6","0.2","0.6","2.0","5.9","4.3","","1.0","2.8","1.7"
"IND","2.2","0.9","5.1","1.5","1.5","0.8","2.9","1.5","1.2","1.2","0.8","2.1","0.7","0.6","3.6","2.3","3.5","1.5","","9.4","2.0"
"IDN","1.0","0.2","0.1","0.2","0.1","0.5","0.6","0.3","0.4","0.3","0.2","0.3","0.1","0.1","2.2","2.1","1.5","0.8","1.8","","1.3"
"VNM","1.1","0.4","0.1","0.2","0.2","0.1","0.6","0.3","0.3","0.3","0.2","0.2","0.2","0.2","3.4","2.5","7.5","4.0","1.1","2.7",""
"Resto del mundo","28.7","12.8","26.7","16.1","12.2","12.7","35.1","46.3","43.9","40.5","34.4","46.3","48.5","32.3","36.3","30.5","23.9","18.3","46.1","28.3","19.3"
"Total","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Nota: Estimaciones con base en la metodología de Wang et al. (2015). Las tonalidades verdes indican valores cercanos o superiores a 60%. Tonalidades amarillas indican valores cercanos a 15%. Tonalidades rojas indican valores cercanos al 0%. BRA=Brasil; CHL=Chile; COL=Colombia; PER=Perú; MEX=México; CAN=Canadá; EUA=Estados Unidos; ALE=Alemania; FRA=Francia; ITA=Italia; ESP=España; UK=Reino Unido; POL=Polonia; PRT=Portugal; CHN=China; JPN=Japón; COR=Corea; TWN=Taiwán; IDN=Indonesia; IND=India; VNM=Vietnam; RdM=resto del mundo. Fuente: Elaborado por el Banco de México con información de la OCDE."
""
