"Global: valor agregado proveniente de Estados Unidos y China contenido en la demanda final por país (2022)"
"","","a) % de la demanda final global por país","b) % del valor agregado proveniente del extranjero","c) % del valor agregado proveniente de EUA y China"
"Región","País","Estados Unidos","China","Estados Unidos","China","Estados Unidos","China"
"África","SEN","1.31","1.17","7.13","6.34","52.90","47.10"
"África","NGA","0.74","1.71","10.50","24.27","30.19","69.81"
"África","ZAF","1.14","2.19","7.91","15.15","34.31","65.69"
"África","TUN","1.01","1.72","4.77","8.13","36.97","63.03"
"África","EGY","0.85","0.85","11.21","11.30","49.80","50.20"
"África","CIV","0.87","0.75","8.82","7.67","53.48","46.52"
"África","MAR","1.79","1.91","8.29","8.85","48.36","51.64"
"África","CMR","0.45","1.05","6.50","15.10","30.08","69.92"
"América Latina","ARG","1.35","1.21","16.76","15.03","52.71","47.29"
"América Latina","CHL","3.80","3.08","22.54","18.27","55.23","44.77"
"América Latina","PER","3.55","2.91","26.52","21.69","55.00","45.00"
"América Latina","BRA","2.10","1.80","19.86","17.02","53.84","46.16"
"América Latina","COL","3.17","2.29","26.37","19.05","58.06","41.94"
"América Latina","CRI","5.73","1.65","37.60","10.84","77.62","22.38"
"América Nte.","MEX","7.63","3.28","41.63","17.90","69.94","30.06"
"América Nte.","CAN","6.64","1.67","47.16","11.86","79.90","20.10"
"Asia","KHM","0.86","15.01","2.87","50.01","5.43","94.57"
"Asia","LAO","0.64","4.54","3.55","25.33","12.29","87.71"
"Asia","MMR","0.45","3.98","3.88","34.39","10.14","89.86"
"Asia","VNM","2.24","11.51","6.01","30.86","16.31","83.69"
"Asia","HKG","1.73","5.02","11.17","32.47","25.60","74.40"
"Asia","PAK","0.57","1.55","6.30","17.29","26.70","73.30"
"Asia","IDN","0.80","2.20","7.71","21.17","26.70","73.30"
"Asia","PHL","1.59","3.35","8.81","18.59","32.15","67.85"
"Asia","KAZ","0.50","1.26","4.25","10.59","28.64","71.36"
"Asia","THA","2.57","5.07","9.38","18.47","33.68","66.32"
"Asia","BGD","0.49","2.80","5.86","33.56","14.87","85.13"
"Asia","MYS","3.04","5.48","10.62","19.15","35.66","64.34"
"Asia","BRN","0.76","2.03","3.60","9.55","27.37","72.63"
"Asia","KOR","2.84","4.50","12.52","19.86","38.67","61.33"
"Asia","IND","1.32","1.62","9.49","11.70","44.80","55.20"
"Asia","TWN","2.84","3.97","12.49","17.50","41.64","58.36"
"Asia","JPN","1.89","2.00","13.30","14.04","48.65","51.35"
"Asia","SGP","6.25","4.25","16.79","11.43","59.50","40.50"
"Europa","BLR","0.50","1.45","2.10","6.09","25.60","74.40"
"Europa","CZE","1.40","2.73","5.01","9.77","33.88","66.12"
"Europa","RUS","0.65","1.21","8.52","15.83","34.99","65.01"
"Europa","SVK","1.16","2.89","3.42","8.55","28.58","71.42"
"Europa","EST","1.41","2.14","4.86","7.39","39.64","60.36"
"Europa","POL","1.38","2.51","5.73","10.45","35.44","64.56"
"Europa","BGR","1.07","1.35","4.45","5.64","44.08","55.92"
"Europa","ROU","0.74","1.10","3.71","5.55","40.09","59.91"
"Europa","UKR","1.22","2.45","5.80","11.65","33.23","66.77"
"Europa","SVN","1.06","2.48","3.77","8.81","29.96","70.04"
"Europa","HUN","1.76","2.89","5.08","8.35","37.79","62.21"
"Europa","ESP","1.34","1.42","8.54","9.06","48.51","51.49"
"Europa","ITA","1.13","1.43","6.40","8.12","44.10","55.90"
"Europa","GRC","1.89","1.45","8.30","6.37","56.56","43.44"
"Europa","HRV","1.51","1.03","6.61","4.51","59.44","40.56"
"Europa","PRT","1.22","1.23","5.51","5.57","49.74","50.26"
"Europa","LVA","0.94","0.93","4.52","4.46","50.33","49.67"
"Europa","AUT","1.28","1.35","5.89","6.22","48.64","51.36"
"Europa","LTU","1.62","1.29","5.56","4.40","55.78","44.22"
"Europa","NOR","1.42","1.27","9.59","8.56","52.84","47.16"
"Europa","FRA","1.57","1.13","9.73","6.99","58.17","41.83"
"Europa","DEU","1.84","1.53","10.92","9.11","54.53","45.47"
"Europa","FIN","1.86","1.68","8.82","7.97","52.54","47.46"
"Europa","DNK","1.68","1.37","7.17","5.85","55.06","44.94"
"Europa","SWE","1.74","1.06","9.47","5.75","62.21","37.79"
"Europa","CHE","2.31","1.35","11.18","6.54","63.08","36.92"
"Europa","GBR","1.92","1.54","13.68","10.93","55.58","44.42"
"Europa","ISL","2.17","1.37","11.42","7.19","61.37","38.63"
"Europa","NLD","2.43","1.35","11.17","6.22","64.22","35.78"
"Europa","MLT","3.57","1.77","8.18","4.05","66.88","33.12"
"Europa","BEL","2.54","1.06","9.25","3.84","70.65","29.35"
"Europa","LUX","4.84","0.99","9.07","1.85","83.08","16.92"
"Europa","IRL","8.36","0.75","29.43","2.65","91.74","8.26"
"Medio Oriente","JOR","1.59","2.58","7.38","11.98","38.13","61.87"
"Medio Oriente","TUR","1.04","1.66","5.49","8.74","38.59","61.41"
"Medio Oriente","SAU","1.26","1.72","12.46","16.98","42.31","57.69"
"Medio Oriente","ISR","2.08","1.33","16.22","10.35","61.03","38.97"
"Medio Oriente","CYP","2.03","2.26","6.43","7.17","47.30","52.70"
"Otros","AUS","1.27","2.09","14.01","23.03","37.82","62.18"
"Otros","NZL","1.53","1.74","13.57","15.42","46.82","53.18"
"Otros","ROW","1.89","1.93","14.04","14.33","49.49","50.51"
"Fuente: Elaborado por el Banco de México con información de la OCDE."
""
