personaje,comunidad,grupo_notacion,grado,componente_conexa
PADMÉ,C0,1,30,0
ELAN,C0,1,2,0
ZAM WESSEL,C0,1,2,0
DARTH SIDIOUS,C0,1,1,0
SHMI,C0,1,1,0
WATTO,C0,1,1,0
NUTE GUNRAY,C1,2,6,0
POGGLE,C1,2,6,0
SUN RIT,C1,2,6,0
BERU,C1,2,5,0
OWEN,C1,2,5,0
CLIEGG,C1,2,4,0
JOBAL,C1,2,4,0
RUWEE,C1,2,4,0
SOLA,C1,2,4,0
QUEEN JAMILLIA,C1,2,3,0
SIO BIBBLE,C1,2,3,0
THREEPIO,C1,2,3,0
RYOO & POOJA,C1,2,2,0
OBI-WAN,C2,3,29,0
DOOKU,C2,3,2,0
ANAKIN,C3,4,24,0
COUNT DOOKU,C3,4,9,0
JANGO FETT,C4,5,6,0
TAUN WE,C4,5,5,0
BOBA FETT,C4,5,4,0
JANGO,C4,5,4,0
DEXTER JETTSTER,C4,5,2,0
HERMIONE BAGWA,C4,5,2,0
LAMA SU,C4,5,2,0
JOCASTA NU,C4,5,1,0
PK-4,C4,5,1,0
YODA,C5,6,14,0
MACE WINDU,C5,6,13,0
JAR JAR,C5,6,11,0
PALPATINE,C5,6,11,0
MAS AMEDDA,C5,6,10,0
SENATOR ASK AAK,C5,6,10,0
BAIL ORGANA,C5,6,9,0
AMIDALA,C5,6,6,0
CAPTAIN TYPHO,C5,6,6,0
ORN FREE TAA,C5,6,6,0
KI-ADI-MUNDI,C5,6,5,0
DORME,C5,6,4,0
MACE,C5,6,3,0
WINDU,C5,6,3,0
CHILDREN,C5,6,2,0
