personaje,comunidad,grupo_notacion,grado,componente_conexa
PADMÉ,C0,1,28,0
OBI-WAN,C0,1,21,0
NUTE GUNRAY,C1,2,6,0
POGGLE,C1,2,6,0
SUN RIT,C1,2,6,0
BERU,C1,2,5,0
OWEN,C1,2,5,0
CLIEGG,C1,2,4,0
DORME,C1,2,4,0
JOBAL,C1,2,4,0
RUWEE,C1,2,4,0
SOLA,C1,2,4,0
QUEEN JAMILLIA,C1,2,3,0
SIO BIBBLE,C1,2,3,0
THREEPIO,C1,2,3,0
JANGO FETT,C2,3,5,0
BOBA FETT,C2,3,4,0
JANGO,C2,3,4,0
TAUN WE,C2,3,4,0
MACE WINDU,C3,4,13,0
YODA,C3,4,13,0
JAR JAR,C3,4,11,0
PALPATINE,C3,4,11,0
MAS AMEDDA,C3,4,10,0
SENATOR ASK AAK,C3,4,10,0
BAIL ORGANA,C3,4,9,0
AMIDALA,C3,4,6,0
ORN FREE TAA,C3,4,6,0
KI-ADI-MUNDI,C3,4,5,0
MACE,C3,4,3,0
WINDU,C3,4,3,0
ANAKIN,C4,5,19,0
COUNT DOOKU,C4,5,8,0
CAPTAIN TYPHO,C4,5,6,0
