red,q,L_perfilada,BIC_like_menor_mejor,modularidad_diagnostica
G completa,2,-1386.926970270232,2779.544299994788,0.24753827288941746
G completa,3,-1361.0195223856922,2739.1101231343564,0.12493497324613556
G completa,4,-1338.7406225812795,2711.6234018885034,0.18250222948870395
G completa,5,-1320.584492491757,2698.0725795267545,0.21178284780023784
G completa,6,-1305.318246084903,2695.991883984667,0.14601293103448276
G completa,7,-1293.0181191739873,2705.53378688878,0.11702957788347207
G completa,8,-1276.7391609207223,2712.808386562518,0.14521403091557672
G_mini,2,-1228.9729437305841,2463.491064905648,0.25068107415123286
G_mini,3,-1206.7807250605597,2430.196982454558,0.11408850529978709
G_mini,4,-1187.2480481025727,2407.767160872023,0.1752936059156155
G_mini,5,-1172.256506217093,2399.9647868789816,0.14034706165151897
G_mini,6,-1159.5039203447573,2402.1855023567077,0.16453377898857624
G_mini,7,-1149.0481089914083,2414.5449443168873,0.16667429774959366
